municipio,tipo_vivienda,habitaciones,metros_cuadrados,aseos,planta,garaje,zona_centro,ascensor,piscina,reformado,terraza,aire_acondicionado,precio
1,5,3.0,103.0,2.0,3.0,0,0,1,0,0,0,0,170000.0
1,5,4.0,285.0,2.0,2.0,1,0,0,0,0,1,0,320000.0
1,0,4.0,120.0,1.0,4.0,0,1,0,0,0,1,0,260000.0
1,5,2.0,88.0,1.0,3.0,0,1,1,0,0,0,0,144900.0
1,2,3.0,333.0,4.0,0.0,0,0,0,0,0,1,0,790000.0
1,5,3.0,79.0,1.0,3.0,0,1,0,0,0,0,0,90000.0
1,5,3.0,85.0,1.0,3.0,0,1,0,0,0,0,0,149000.0
1,5,4.0,73.0,1.0,3.0,0,1,0,0,0,0,0,114000.0
1,5,2.0,70.0,1.0,3.0,0,1,0,0,0,0,0,120000.0
1,5,3.0,100.0,2.0,2.0,0,0,1,0,0,0,0,197000.0
1,2,4.0,219.0,4.0,0.0,0,0,0,0,0,1,0,880000.0
1,2,6.0,318.0,3.0,0.0,0,0,0,0,0,1,0,599000.0
1,2,3.0,160.0,2.0,0.0,0,0,0,1,0,0,0,379000.0
1,2,5.0,179.0,2.0,0.0,0,0,0,0,0,1,0,479900.0
1,5,3.0,93.0,1.0,3.0,0,1,0,0,0,0,0,130000.0
1,5,3.0,70.0,1.0,3.0,0,0,1,0,0,0,0,197000.0
1,5,3.0,85.0,1.0,3.0,0,0,1,0,0,0,0,129900.0
1,5,3.0,111.0,2.0,3.0,0,0,1,0,0,0,0,200000.0
1,3,1.0,310.0,2.0,3.0,0,0,1,0,0,0,0,185000.0
1,2,4.0,242.0,3.0,0.0,0,0,0,0,0,1,0,510000.0
1,5,3.0,60.0,1.0,2.0,0,0,0,0,0,0,0,129900.0
1,5,3.0,78.0,2.0,2.0,0,0,1,0,0,0,0,169900.0
1,2,4.0,279.0,3.0,0.0,0,0,0,0,0,1,0,650000.0
1,5,3.0,164.0,2.0,5.0,0,0,1,0,0,0,0,330000.0
1,5,4.0,140.0,2.0,3.0,0,1,0,0,0,0,0,230000.0
1,2,4.0,160.0,3.0,0.0,0,0,0,1,0,0,0,549000.0
1,5,2.0,160.0,2.0,3.0,0,0,1,0,0,0,0,183500.0
1,5,3.0,106.0,1.0,3.0,0,0,0,0,0,0,0,119000.0
1,2,4.0,200.0,2.0,0.0,0,0,0,0,0,1,0,370000.0
1,5,3.0,84.0,1.0,1.0,0,0,0,0,0,1,0,120000.0
1,5,3.0,117.0,2.0,3.0,0,0,1,0,0,0,0,225000.0
1,5,4.0,100.0,2.0,3.0,0,1,1,0,0,0,0,124500.0
1,5,3.0,122.0,2.0,3.0,0,0,1,0,0,0,0,169000.0
1,5,4.0,87.0,1.0,3.0,0,1,1,0,0,0,0,139000.0
1,5,4.0,145.0,2.0,3.0,0,0,1,0,0,0,0,180000.0
1,2,4.0,129.0,1.0,0.0,0,0,0,0,0,1,0,90000.0
1,5,2.0,161.0,2.0,3.0,0,0,1,0,0,0,0,183500.0
1,5,3.0,64.0,2.0,3.0,0,0,0,0,0,0,0,140000.0
1,2,4.0,219.0,4.0,0.0,0,0,0,0,0,1,0,860000.0
1,5,2.0,74.0,1.0,3.0,0,1,1,0,0,0,0,135000.0
1,5,2.0,116.0,1.0,5.0,0,0,1,0,0,0,0,152000.0
1,2,9.0,321.0,4.0,0.0,0,0,0,0,0,1,0,350000.0
1,5,3.0,117.0,2.0,2.0,0,0,1,0,0,0,0,190000.0
1,5,2.0,101.0,1.0,3.0,0,0,0,0,0,0,0,125000.0
1,5,3.0,111.0,2.0,3.0,0,0,1,0,0,0,0,219000.0
1,5,3.0,108.0,2.0,1.0,0,0,1,0,0,0,0,200000.0
1,2,5.0,428.0,4.0,0.0,0,0,0,0,0,1,0,1000000.0
1,5,3.0,112.0,2.0,3.0,0,0,1,0,0,0,0,190000.0
1,5,2.0,120.0,2.0,3.0,0,0,1,0,0,0,0,220000.0
1,5,3.0,111.0,2.0,5.0,0,0,1,0,0,0,0,271000.0
