,calle,barrio,municipio,tipo_vivienda,titulo,habitaciones,metros_cuadrados,aseos,planta,descripcion,etiquetas,garaje,precio
37,Casa o chalet en venta en,La Cañada,Manises,Chalet,Casa o chalet en venta en La Cañada,5.0,291.0,3.0,,"¡Exclusiva oportunidad en La Cañada! Precioso unifamiliar en una ubicación privilegiada.


Coldwell Banker Excellence, pone a la venta este chalet en La Caña...Leer más",['Parking'],No,595000.0
38,Piso en venta en,Centro Ciudad,Manises,Piso,Piso en venta en Centro Ciudad,4.0,132.0,1.0,1ª Planta,"Piso en venta en Paterna, zona centro. Superficie total de 132 m², cuenta con 4 habitaciones ( 2 dobles y 2 individuales), 1 baño y 1 aseo, aire acondicionado,...Leer más","['Ascensor', 'Balcón']",No,195000.0
39,Piso en venta en,Centro Ciudad,Manises,Piso,Piso en venta en Centro Ciudad,4.0,89.0,1.0,4ª Planta,"Estupendo piso en Paterna, zona de CAMPAMENTO - LA SALLE, a un paso del centro y junto a la estación del metro de Campamento, excelentemente comunicado y junto ...Leer más","['Balcón', 'Calefacción']",No,126000.0
40,Casa adosada en venta en,La Cañada,Manises,Casa adosada,Casa adosada en venta en La Cañada,3.0,130.0,3.0,,"VIVIENDA SUPER CUQUI A ESTRENAR.

Ubicada en una comunidad con encanto especial con estilo ibicenco,  disfruta de piscina comunitaria con zonas ajardinadas y pl...Leer más",['Terraza'],No,380000.0
41,Casa o chalet en venta en,La Cañada,Manises,Chalet,Casa o chalet en venta en La Cañada,6.0,487.0,4.0,,"En una de las zonas más demandadas de El Plantio encontramos este amplio y funcional inmueble. Con una distribución de pasillo circular, dispone de una estructu...Leer más","['Parking', 'Terraza', 'Aire acondicionado']",No,890000.0
42,Piso en venta en  MAJOR,Aldaia,Manises,Piso,"Piso en venta en  MAJOR, Aldaia",4.0,93.0,1.0,3ª Planta,"008MAY142. EXTERIOR CON BALCÓN Y ASCENSOR CERCA DEL CENTRO

Financiación hasta 100% (sujeto a aprobación por entidades bancarias)

Muy acogedor y con muchísimo ...Leer más","['Ascensor', 'Balcón']",No,142000.0
43,Ático en venta en,Alameda Park,Manises,Piso,Ático en venta en Alameda Park,5.0,164.0,2.0,,"Engel & Völkers presenta en exclusiva esta excepcional vivienda de 260 m², distribuidos en 164 m² de vivienda y 96 m² de terraza, con acabados de excelente cali...Leer más","['Ascensor', 'Parking', 'Terraza']",No,315000.0
44,Piso en venta en  RODRIGO BOTET,El Mercado,Manises,Piso,"Piso en venta en  RODRIGO BOTET, El Mercado",4.0,73.0,1.0,5ª Planta,"007RBO109 EXTERIOR CON BALCÓN JUNTO AL MERCADO MUNICPIAL 

Financiación hasta 100% (sujeto a aprobación por entidades bancarias)

Confortable y acogedor, con mu...Leer más",['Balcón'],No,109000.0
45,Casa o chalet en venta en,La Cañada,Manises,Chalet,Casa o chalet en venta en La Cañada,4.0,356.0,2.0,,"( Ref. HH-2529 )

ESTUPENDO CHALET EN EL PLANTÍO: EXCLUSIVIDAD, PRIVACIDAD Y COMODIDAD EN UN ENTORNO ÚNICO

Presentamos un espectacular chalet de lujo en la exc...Leer más","['Terraza', 'Piscina', 'Balcón']",No,575000.0
46,Casa o chalet en venta en,La Cañada,Manises,Chalet,Casa o chalet en venta en La Cañada,3.0,133.0,2.0,,"Esta preciosa propiedad recién reformada. Cuenta de 2 habitaciones en la planta principal, ambas con aire acondicionado split, y 2 habitaciones en el exterior. ...Leer más","['Parking', 'Terraza', 'Calefacción']",No,360000.0
